City,Lat,Long,Title,Club
Liverpool,53,3,4,Liverpool FC
Birmingham,52,1,1,Aston Villa FC
Hamburg,53,10,1,Hamburg
Turin,45.116177,7.742615,2,Juventus FC
Bucharest,44,26,1,Steaua Bucaresti
Porto,41.14,-8.61,2,Porto FC
Eindhoven,51.441642,5.4697225,1,PSV Eindhoven
Milano,45,9,5,AC Milan
Belgrad,44.787197,20.457273,1,Red Star
Barcelona,41,2,3,Barcelona FC
Marseille,43,5,1,Marseille FC
Amsterdam,52,4,2,AFC Ajax
Dortmund,51.514244,7.468429,1,Borussia Dortmund
Madrid,40,3,6,Real Madrid CF
Manchester,53,5,1,Manchester Utd
MÃ¼nchen,48,11,3,FC Bayern
Leverkusen,51.0303,6.98432,1,Bayern Leverkusen
London,51,0,2,Chelsea FC